Index,User1.ID,User2.ID,User1.SN,User2.SN,User1.N,User2.N,L1LR-Linear.prob
1877701,3169413868,3193445556,'abu_malhama4','Abu_Malhama5','Abu Malhama','Abu Malhama',0.845
1908571,3416638547,3423105478,'Abu_omar_ii','Abu_omar_iii','Abdullah','Abdullah',0.976
1908572,3416638547,1524799916,'Abu_omar_ii','Abu_omar_iiii','Abdullah','Abdullah',0.973
1911996,3423105478,1524799916,'Abu_omar_iii','Abu_omar_iiii','Abdullah','Abdullah',0.976
1969938,3172211820,387007963,'abu_usamah2','yahyapalle','Yahya','yahya',0.849
2222818,3307258107,3431813686,'Ahmes_Zirve__','Ahmes_Zirve__','Ahmes Zirve','Ahmes Zirve',0.874
2222819,3307258107,3297609231,'Ahmes_Zirve__','Ahmes__Zirve','Ahmes Zirve','Ahmes Zirve',0.970
2226150,3431813686,3297609231,'Ahmes_Zirve__','Ahmes__Zirve','Ahmes Zirve','Ahmes Zirve',0.830
2437014,3114240733,3024879640,'alaykum_bisham2','UmmzubaydaUmm','Umm Mujahid','Umm Mujahid',0.874
2466685,1705697040,3082288528,'AlBritania_','AlBritania_','Um Hamza','Umm Hamza',0.821
2560761,93607463,3319229484,'Alhusaini02','Alhusaini03','Husseini al-Hashemi 300','Husseini al-Hashemi',0.947
2615796,3742137076,3342736972,'AlJabarti28','BanuKombe','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.814
2616218,3742137076,3383129963,'AlJabarti28','enkorela','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.818
2617617,3742137076,3380190820,'AlJabarti28','ouaicheu','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.818
2617618,3742137076,3381548601,'AlJabarti28','ouaisheu','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.818
2679568,3383036247,3387222731,'almuhajirun3','almuhajirun4','ALMUHAJIRUN Immigrants','ALMUHAJIRUN Immigrants',0.973
2746390,3386167563,3410873597,'alsunee19903','alsunne1970','Sunni Kurdish','Sunni Kurdish',0.786
3006134,3196503476,3343115284,'Ansar4IS','_Ansar_4_IS','Khalid Ibn Walid','Khalid Ibn Walid',0.814
3006201,3207681243,3171524767,'AnsarAlUmmah49','Aqidahhaqq','Colonel Shaami','Colonel Shaami',0.835
3006474,3207681243,3219947038,'AnsarAlUmmah49','buruan8','Colonel Shaami','Colonel Shaami',0.849
3010118,2612011118,3184228694,'ansari14harun','harun16ansari','nuu05e8aH',' nuu05e8aH',0.867
3138061,3155715926,3352908874,'asadanbari','asadanbari6','Asadanbari5','Asadanbari6',0.955
3150235,3170430693,3121138918,'ASallahdin','ASallahdin1','ASallahdin','ASallahdin1',0.812
3153276,3121138918,3170430693,'ASallahdin1','ASallahdin1','ASallahdin1','A_Sallahdin1',0.971
3280095,3347304616,2483088547,'at_Tunisi','at_Tunisi1','Mehdi at-Tunisi','Mehdi at-Tunisi',0.856
3374145,281835254,3281974094,'AzSrul3_AR','MrRedhar3','MrRedhar','MrRedhar3',0.802
3375535,3063829663,3355508939,'Azz10ne','Azz10nee','Azz Dine','Azz Dine ',0.791
3375536,3063829663,3432799641,'Azz10ne','Azz10nee','Azz Dine','Azz Dine',0.851
3378501,3355508939,3432799641,'Azz10nee','Azz10nee','Azz Dine ','Azz Dine',0.821
3464080,3233714465,3254499016,'BakrSomali','bakr_somali','Abu Bakr Al Somali','Abu Bakr Al Somali',0.858
3473306,3342736972,3383129963,'BanuKombe','enkorela','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.906
3474705,3342736972,3380190820,'BanuKombe','ouaicheu','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.829
3474706,3342736972,3381548601,'BanuKombe','ouaisheu','Abu Yusuf Al-Jabarti','Abu Yusuf Al-Jabarti',0.829
3484225,3152763461,3160211412,'Baqeeyah','UmmDawlah','Umm Jihad','Umm Jihad',0.873
3484497,3152763461,3184358143,'Baqeeyah','YouKuffsHateMe','Umm Jihad','Umm Jihad ',0.789
3484611,3138676323,3387292331,'BaqisHaqq','BaqIShaqq','Abu Futuhat','Abu Futuhat',0.874
3487540,3387292331,3138676323,'BaqIShaqq','BaqisHaqq1','Abu Futuhat','Abu Futuhat',0.975
3584100,251530546,3425558332,'behappyCharlieS','ferha_302','From the descendants of Ishmael','From the descendants of Ishmael',0.835
3672931,3322759103,3159143144,'bintHijrateyn','Bint_Hijrateyn','Umm Zubaydah','Umm Zubaydah',0.862
3672933,3322759103,3518503572,'bintHijrateyn','bint_Hijrateyn','Umm Zubaydah','Umm Zubaydah',0.976
